Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,t_pop_2010,,,,,,,
Queens,081,4,074300,"4,221",47.81,88.3,,,,,
Queens,081,4,074500,"3,571",41.29,86.5,,,,,
Queens,081,4,074700,"3,386",72.85,46.5,,,,,
Queens,081,4,074900,"1,453",88.55,16.4,,,,,
Queens,081,4,075701,"4,678",48.74,96.0,,,,,
Queens,081,4,075702,"4,481",87.86,51.0,,,,,
Queens,081,4,076901,"4,056",44.8,90.5,,,,,
Queens,081,4,076902,"1,371",25.59,53.6,,,,,
Queens,081,4,077300,"2,234",69.66,32.1,,,,,
Queens,081,4,077500,"2,273",55.67,40.8,,,,,
Queens,081,4,077902,"5,263",139.97,37.6,,,,,
Queens,081,4,077903,"2,972",66.48,44.7,,,,,
Queens,081,4,077904,"6,155",94.44,65.2,,,,,
Queens,081,4,077905,"2,455",67.94,36.1,,,,,
Queens,081,4,077906,"3,633",70.75,51.3,,,,,
Queens,081,4,077907,"3,193",52.71,60.6,,,,,
Queens,081,4,077908,"3,755",49.79,75.4,,,,,
Queens,081,4,078800,"1,818",47.65,38.2,,,,,
Queens,081,4,079000,"2,549",64.45,39.6,,,,,
Queens,081,4,079200,"2,280",88.86,25.7,,,,,
Queens,081,4,079300,1,213.81,0.0,,,,,
Queens,081,4,079701,"7,055",27.51,256.5,,,,,
Queens,081,4,079702,"4,502",71.5,63.0,,,,,
Queens,081,4,079900,"3,425",70.77,48.4,,,,,
Queens,081,4,080301,"4,382",79.99,54.8,,,,,
Queens,081,4,080302,"3,504",108.16,32.4,,,,,
Queens,081,4,080900,"6,850",248.96,27.5,,,,,
Queens,081,4,081400,"3,543",90.73,39.0,,,,,
Queens,081,4,081800,"3,478",92.99,37.4,,,,,
Queens,081,4,083700,"5,388",191.67,28.1,,,,,
Queens,081,4,083800,"4,970",122.41,40.6,,,,,
Queens,081,4,084000,"6,478",140.5,46.1,,,,,
Queens,081,4,084500,"5,318",46.51,114.3,,,,,
Queens,081,4,084601,"2,730",82.24,33.2,,,,,
Queens,081,4,084602,"1,053",179.29,5.9,,,,,
Queens,081,4,084900,"7,642",74.92,102.0,,,,,
Queens,081,4,085300,"5,764",48.24,119.5,,,,,
Queens,081,4,085500,"6,649",32.25,206.2,,,,,
Queens,081,4,085700,"5,953",32.75,181.8,,,,,
Queens,081,4,085900,"5,873",36.13,162.6,,,,,
Queens,081,4,086100,"2,370",36.77,64.5,,,,,
Queens,081,4,086300,"7,277",35.62,204.3,,,,,
Queens,081,4,086400,"2,634",271.54,9.7,,,,,
Queens,081,4,086500,"4,514",38.74,116.5,,,,,
Queens,081,4,086900,"2,131",142.78,14.9,,,,,
Queens,081,4,087100,"1,752",103.75,16.9,,,,,
Queens,081,4,088400,"7,337",384,19.1,,,,,
Queens,081,4,088901,"10,266",153.9,66.7,,,,,
Queens,081,4,089200,"7,430",704.7,10.5,,,,,
Queens,081,4,090700,"1,355",511.56,2.6,,,,,
Queens,081,4,091601,"4,079",807.51,5.1,,,,,
Queens,081,4,091602,0,323.36,0.0,,,,,
Queens,081,4,091800,17,303.28,0.1,,,,,
Queens,081,4,091900,"5,766",104.9,55.0,,,,,
Queens,081,4,092200,"2,206",166.9,13.2,,,,,
Queens,081,4,092500,"3,681",77.23,47.7,,,,,
Queens,081,4,092800,"3,246",189.14,17.2,,,,,
Queens,081,4,092900,"6,496",227.4,28.6,,,,,
Queens,081,4,093401,"3,789",132.89,28.5,,,,,
Queens,081,4,093402,"3,657",95.35,38.4,,,,,
Queens,081,4,093800,"5,218",204.93,25.5,,,,,
Queens,081,4,093900,"4,400",160.42,27.4,,,,,
Queens,081,4,094201,"3,380",91.95,36.8,,,,,
Queens,081,4,094202,"4,700",189.9,24.7,,,,,
Queens,081,4,094203,"5,369",117.37,45.7,,,,,
Queens,081,4,094500,"3,971",378.43,10.5,,,,,
Queens,081,4,094700,"2,577",67.32,38.3,,,,,
Queens,081,4,095400,"5,368",199.44,26.9,,,,,
Queens,081,4,096400,"4,441",221.75,20.0,,,,,
Queens,081,4,097202,"2,795",128.89,21.7,,,,,
Queens,081,4,097203,"6,865",372.52,18.4,,,,,
Queens,081,4,097204,"3,544",96.82,36.6,,,,,
Queens,081,4,097300,"2,016",128.38,15.7,,,,,
